family,mse_1_5,mse_6_10,rmse_all,mae,bias,corr,poisson_deviance,gamma_deviance,tweedie_deviance_1_5,below_zero_share
Poisson,0.0724070847399834,0.07391870243361205,0.2704815133224361,0.20677707244381363,0.010547423015338104,0.6616884067907249,0.0937699727799763,0.14090299345173302,0.1126677482867592,0.0
Tweedie,0.07250864884104537,0.07401519894845723,0.27066453078075253,0.20678427893943419,0.010362275246191169,0.6615508328984436,0.09381266657321904,0.1408957573443529,0.11268453139563239,0.0
Gamma,0.07463078928652045,0.07589781265366558,0.2743393598158826,0.20837556024343834,0.011309763221152364,0.6573820831208603,0.09534241794471171,0.14225790493879412,0.11408376154718762,0.0
Gaussian,0.07700511017372662,0.0782228054402783,0.27858899382313057,0.2076395605794871,-0.035608485678402954,0.6464849181267499,0.10122342150909805,0.1553385654210111,0.1228737380680583,0.0
